Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
ALL,0.9365771812080537,0.8943601794488357,0.5494864612511672,0.9149819691836959,8373,567,989,13336,4342435245294,01:12:22
CLASSES,1.0,0.2857142857142857,0.0,0.4444444444444445,4,0,10,21,-,-
PROPERTIES,1.0,0.9245283018867925,0.9245283018867925,0.9607843137254902,49,0,4,88,-,-
INSTANCES,0.9361989422752335,0.8951048951048951,0.5425685425685426,0.9151908480915192,8320,567,975,13227,-,-
