Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
ALL,0.9624711316397229,0.9370432827431141,0.6518987341772152,0.9495870122472231,1667,65,112,3399,1613475094409,00:26:53
CLASSES,1.0,0.5384615384615384,0.0,0.7000000000000001,7,0,6,24,-,-
PROPERTIES,0.9743589743589743,0.926829268292683,0.926829268292683,0.9500000000000001,38,1,3,70,-,-
INSTANCES,0.9620403321470937,0.9402898550724638,0.6245353159851301,0.9510407505130459,1622,64,103,3305,-,-
