Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
knowledgegraph,SEALS Matcher,ALL,0.85005767785816,0.8372429966998803,0.4628061168334465,0.8436016749227299,0.8672292174830246,0.8566126196522759,0.43951194184839043,0.8618882264299287,13155,1693,2014,2202,42874,14414051043153,04:00:14
knowledgegraph,SEALS Matcher,CLASSES,1.0,0.6448351648351648,0.0,0.7840726884019241,1.0,0.5714285714285714,0.0,0.7272727272727273,28,0,0,21,91,-,-
knowledgegraph,SEALS Matcher,PROPERTIES,0.9948717948717949,0.9306611244255055,0.9306611244255055,0.9616958442990391,0.9940476190476191,0.9226519337016574,0.9226519337016574,0.9570200573065902,167,167,1,14,318,-,-
knowledgegraph,SEALS Matcher,INSTANCES,0.847804641773663,0.8374592550495841,0.4252201520383526,0.8426001946231894,0.8655580044079343,0.8567462153764791,0.4180821917808219,0.8611295681063122,12960,1526,2013,2167,42465,-,-
