Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
ALL,0.9240084669458181,0.8357381689009513,0.46657675904674695,0.877659463565544,0.9326094570928196,0.8669010874519762,0.480269989615784,0.8985556155507559,13313,1850,962,2044,24828,11411346199846,03:10:11
CLASSES,1.0,0.6448351648351649,0.0,0.7840726884019241,1.0,0.5714285714285714,0.0,0.7272727272727273,28,0,0,21,91,-,-
PROPERTIES,0.9948717948717949,0.9306611244255055,0.9306611244255055,0.9616958442990391,0.9940476190476191,0.9226519337016574,0.9226519337016574,0.9570200573065902,167,167,1,14,318,-,-
INSTANCES,0.9225185565980623,0.8358126654559419,0.42812801491660313,0.8770278137040475,0.9317423112436963,0.8671911152244332,0.4610958904109589,0.8983085667328631,13118,1683,961,2009,24419,-,-
