Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
knowledgegraph,SEALS Matcher,ALL,0.8579438923015296,0.8426419564363222,0.4861812089705696,0.8502240806697394,0.8699454270497732,0.8615615028977014,0.45950155763239875,0.8657331675718117,13231,1770,1978,2126,41708,13053005229458,03:37:33
knowledgegraph,SEALS Matcher,CLASSES,1.0,0.6448351648351649,0.0,0.7840726884019241,1.0,0.5714285714285714,0.0,0.7272727272727273,28,0,0,21,91,-,-
knowledgegraph,SEALS Matcher,PROPERTIES,0.9948717948717949,0.9306611244255055,0.9306611244255055,0.9616958442990391,0.9940476190476191,0.9226519337016574,0.9226519337016574,0.9570200573065902,167,167,1,14,318,-,-
knowledgegraph,SEALS Matcher,INSTANCES,0.8558382857351188,0.8430072640796888,0.45232784824162364,0.8493743199090256,0.8683141277559449,0.8617703444172672,0.43917808219178084,0.8650298606502986,13036,1603,1977,2091,41299,-,-
